pub_year,updated_usage,open,references,tc_wos,cited,u1,u2,pub_month,score,bloggers,tweets,news_outlets,facebook,mendeley,impact,time
2012,505,1,45,54,54,2,24,7,25,3,10,0,0,65,3.292,252.4285714
2012,453,1,59,73,74,2,40,7,115,5,108,0,8,147,3.292,252.4285714
2012,1668,1,29,8,8,2,9,11,4,0,5,0,0,32,3.292,234.8571429
2012,1252,1,12,3,3,1,3,7,3,0,2,0,0,10,3.292,252.4285714
2012,1607,1,26,59,59,2,24,7,40,1,44,0,2,97,3.292,252.4285714
2012,1381,1,34,6,6,2,29,11,6,0,7,0,1,19,3.292,234.8571429
2012,1282,1,15,6,6,2,21,11,8,0,9,0,0,44,3.292,234.8571429
2012,1489,1,62,14,14,1,21,11,10,1,3,0,0,25,3.292,234.8571429
2012,982,1,47,29,29,7,49,7,21,1,13,0,1,36,3.292,252.4285714
2012,340,1,21,7,7,3,16,10,89,0,110,1,4,15,3.292,239.2857143
2012,1238,1,11,7,7,0,2,11,15,0,21,0,0,14,3.292,234.8571429
2012,1342,1,21,5,5,0,4,11,0,0,0,0,0,0,3.292,234.8571429
2012,1114,1,22,14,14,3,10,11,32,1,24,1,0,10,3.292,234.8571429
2012,678,1,19,5,5,0,8,8,11,0,0,1,0,29,3.292,248
2012,1452,1,94,11,11,3,28,11,0,0,0,0,0,0,3.292,234.8571429
2012,1622,1,26,9,9,1,1,10,1,0,2,0,0,17,3.292,239.2857143
2012,1156,1,15,9,9,1,1,10,1,0,2,0,0,1,3.292,239.2857143
2012,1167,1,31,6,6,0,14,11,2,0,2,0,0,21,3.292,234.8571429
2012,29,1,17,7,7,0,7,8,3,0,5,0,0,11,3.292,248
2012,1407,1,9,2,2,0,3,8,1,0,2,0,0,11,3.292,248
2012,800,1,31,6,6,1,9,8,0,0,0,0,0,0,3.292,248
2012,1072,1,14,3,3,0,4,12,15,2,3,0,0,12,3.292,230.5714286
2012,1159,1,74,34,35,1,25,4,3,0,4,0,0,76,3.292,265.4285714
2012,702,1,10,1,1,0,11,4,0,0,0,0,0,0,3.292,265.4285714
2012,1003,1,29,3,3,1,4,4,16,0,7,1,0,7,3.292,265.4285714
2012,1037,1,33,9,9,0,4,4,0,0,0,0,0,0,3.292,265.4285714
2012,1292,1,29,14,14,1,7,10,19,1,4,1,0,3,3.292,239.2857143
2012,1200,1,38,11,11,0,6,10,1,0,1,0,0,4,3.292,239.2857143
2012,1539,1,25,18,18,1,27,10,2,0,3,0,0,54,3.292,239.2857143
2012,1627,1,25,28,28,1,10,10,3,0,3,0,0,24,3.292,239.2857143
2012,745,1,43,26,26,0,13,8,0,0,0,0,0,0,3.292,248
2012,35,1,26,8,8,1,27,11,1,0,1,0,0,4,3.292,234.8571429
2012,981,1,23,3,3,0,8,9,1,0,1,0,0,19,3.292,243.5714286
2012,1387,1,10,6,6,0,5,11,3,0,3,0,0,3,3.292,234.8571429
2012,483,1,32,3,3,0,6,10,0,0,0,0,0,0,3.292,239.2857143
2012,1268,1,20,5,5,2,9,10,8,0,10,0,0,14,3.292,239.2857143
2012,269,1,16,5,5,1,8,10,3,0,3,0,0,9,3.292,239.2857143
2012,632,1,24,5,5,0,3,10,0,0,0,0,0,0,3.292,239.2857143
2012,1112,1,36,4,4,0,3,7,6,0,7,0,0,13,3.292,252.4285714
2012,579,1,26,3,3,0,13,3,0,0,0,0,0,0,3.292,269.8571429
2012,1357,1,32,7,7,1,10,3,0,0,0,0,0,0,3.292,269.8571429
2012,968,1,43,9,9,0,7,5,0,0,0,0,0,0,3.292,261.1428571
2012,533,1,68,18,18,3,18,5,0,0,0,0,0,0,3.292,261.1428571
2012,753,1,15,1,1,0,7,10,2,0,3,0,0,18,3.292,239.2857143
2012,2,1,36,1,1,2,9,8,1,0,0,0,1,8,3.292,248
2012,1667,1,39,19,19,3,18,8,2,0,2,0,0,6,3.292,248
2012,1462,1,13,18,18,1,10,10,1,0,2,0,0,31,3.292,239.2857143
2012,608,1,32,21,21,0,4,7,4,0,6,0,0,13,3.292,252.4285714
2012,1020,1,26,18,18,0,7,2,0,0,0,0,0,0,3.292,274
2012,877,1,42,59,60,2,25,9,11,0,10,0,0,103,3.292,243.5714286
2012,1047,1,16,4,4,0,3,12,2,0,3,0,0,16,3.292,230.5714286
2012,1107,1,25,8,8,0,8,12,3,0,4,0,0,20,3.292,230.5714286
2012,660,1,21,16,16,1,7,7,1,0,1,0,0,9,3.292,252.4285714
2012,1297,1,37,2,2,0,6,7,0,0,0,0,0,0,3.292,252.4285714
2012,1083,1,18,3,3,4,21,11,2,0,3,0,0,35,3.292,234.8571429
2012,724,1,28,6,6,0,4,11,3,0,4,0,0,19,3.292,234.8571429
2012,1800,1,58,27,27,2,10,6,13,0,3,1,1,45,3.292,256.7142857
